FechaDocumento,Pico_0_B_M_A_TOP,Pico_B_M_A,EsFechaNomina,EsMayor2M,EsFinSemana,TotalVentaNeta,VentaContado,VentaCredito,UnidadesKit,TotalDsctos,Gramos,VentasNORTE,VentasOCCIDENTE,VentasCENTROORIENTE,Dolar,IPC,EsPicoAumetado,EsFechaEspecial
45205,0.75,0.66,0,1,0,2782600,2782600,0,73,0,730,273400,1172500,1336700,0.42885,0.027129032,3000000,1
45206,0.5,0.33,0,0,1,1740100,1740100,0,55,0,550,188300,705000,846800,0.43415,0.02783871,0,0
45207,0.25,0.33,0,0,1,910300,910300,0,26,0,260,297100,0,613200,0.4324,0.028548387,0,0
45208,0.5,0.33,0,0,0,1207300,1207300,0,37,0,370,307600,309400,590300,0.4324,0.029258065,0,0
45209,0.5,0.33,0,0,0,1900900,1900900,0,44,0,440,0,1266500,634400,0.4324,0.029967742,3000000,1
45210,0.75,0.66,0,1,0,3345500,3345500,0,70,0,700,386200,1479000,1480300,0.431372,0.030677419,3000000,1
45211,0.5,0.33,0,0,0,1027000,1027000,0,32,0,320,199000,174500,653500,0.421845,0.031387097,0,0
45212,0.5,0.33,0,0,0,1558150,1558150,0,42,0,420,598650,398500,561000,0.42115,0.032096774,0,0
45213,0.5,0.33,0,0,1,1933400,1933400,0,54,0,540,274600,628500,1030300,0.42775,0.032806452,0,0
45214,0.5,0.33,1,0,1,1209100,1209100,0,27,0,270,885100,0,324000,0.42345,0.033516129,0,0
45215,0.5,0.33,1,0,0,1771250,1771250,0,26,0,280,523100,0,1248150,0.42345,0.034225807,0,0
45216,0.75,0.66,1,1,0,2138650,2138650,0,54,0,540,890300,690500,557850,0.42345,0.034935484,3000000,1
45217,0.75,0.66,1,1,0,2130700,2130700,0,53,0,530,247800,701000,1181900,424.0,0.035645161,3000000,1
45218,0.75,0.66,1,1,0,2540900,2540900,0,68,0,680,187500,1299400,1054000,0.41901,0.036354839,3000000,1
45219,0.5,0.33,1,0,0,1878400,1878400,0,52,0,520,236200,518000,1124200,0.42475,0.037064516,0,0
45220,0.75,0.66,0,1,1,2525300,2525300,0,48,0,480,0,1088000,1437300,0.42735,0.037774194,0,0
45221,0.75,0.66,0,1,1,3020800,3020800,0,25,0,250,39000,0,2981800,0.42335,0.038483871,0,0
45222,0.25,0.33,0,0,0,915600,915600,0,35,0,350,19500,377500,518600,0.42335,0.039193548,0,0
45223,0.5,0.33,0,0,0,1535500,1535500,0,33,0,330,1050900,36000,448600,0.42335,0.039903226,0,0
45224,0.75,0.66,0,1,0,3050800,3050800,0,55,0,550,275400,448000,2327400,0.42175,0.040612903,3000000,1
45225,0.5,0.33,0,0,0,1966300,1966300,0,37,0,370,1293400,418500,254400,0.42105,0.041322581,0,0
45226,0.5,0.33,0,0,0,1681400,1681400,0,49,0,500,102900,926500,652000,0.41806,0.042032258,0,0
45227,0.75,0.66,0,1,1,3185400,3185400,0,72,0,720,802600,945500,1437300,0.41325,0.042741936,3000000,1
45228,0.25,0.33,0,0,1,906900,906900,0,23,0,230,493000,0,413900,0.40975,0.043451613,0,0
45229,0.5,0.33,0,0,0,1904700,1904700,0,51,0,510,491800,462200,950700,0.40975,0.04416129,0,0
45230,0.75,0.66,0,1,0,2644300,2644300,0,52,0,530,809100,521500,1313700,0.40975,0.044870968,0,0
45231,0.5,0.33,1,0,0,1703500,1703500,0,52,0,520,468500,373900,861100,0.40625,0.045580645,0,0
45232,0.75,0.66,1,1,0,2451850,2451850,0,67,0,670,873200,979000,599650,0.41155,47.0,0,0
45233,0.75,0.66,1,1,0,3795700,3795700,0,90,0,910,303000,866500,2626200,0.40775,47.0,3000000,1
45234,0.75,0.66,1,1,1,3767100,3767100,0,79,0,790,1248700,1159500,1358900,0.40225,0.046933333,3000000,1
45235,0.5,0.33,1,0,1,1788250,1788250,0,35,0,370,429900,0,1358350,0.398387,0.046866667,0,0
45236,0.25,0.33,0,0,0,760900,760900,0,18,0,180,32200,0,728700,0.398387,0.0468,0,0
45237,0.5,0.33,0,0,0,1648100,1648100,0,46,0,460,255200,704500,688400,0.398387,0.046733333,0,0
45238,0.5,0.33,0,0,0,1771650,1771650,0,43,0,440,62800,126500,1582350,0.3978,0.046666667,0,0
45239,0.75,0.66,0,1,0,3103100,3103100,0,65,0,660,0,1805300,1297800,0.400788,0.0466,3000000,1
45240,0.75,0.66,0,1,0,2874600,2874600,0,59,0,610,1190300,376500,1307800,0.4093,0.046533333,0,0
45241,0.75,0.66,0,1,1,2525500,2525500,0,67,0,670,550500,1116600,858400,0.40405,0.046466667,0,0
45242,0.5,0.33,0,0,1,1876250,1876250,0,32,0,320,1144500,0,731750,0.402389,0.0464,0,0
45243,0.25,0.33,0,0,0,517300,517300,0,18,0,180,0,0,517300,0.402389,0.046333333,0,0
45244,0.5,0.33,0,0,0,1928050,1928050,0,37,0,370,477400,189500,1261150,0.402389,0.046266667,0,0
45245,0.75,0.66,1,1,0,3161200,3161200,0,60,0,620,1723000,634800,803400,0.4024,0.0462,3000000,1
45246,0.75,0.66,1,1,0,2337600,2337600,0,65,0,650,981600,650800,705200,0.395921,0.046133333,0,0
45247,0.75,0.66,1,1,0,2462900,2462900,0,48,0,480,791100,376500,1295300,0.4037,0.046066667,0,0
45248,0.75,0.66,1,1,1,3944050,3944050,0,73,0,730,1483200,958000,1502850,0.40844,46.0,3000000,1
45249,0.5,0.33,1,0,1,1427900,1427900,0,30,0,300,326700,0,1101200,0.406712,0.045933333,0,0
45250,0.5,0.33,1,0,0,1184900,1184900,0,25,0,250,542700,441300,200900,0.406712,0.045866667,0,0
45251,0.75,0.66,0,1,0,3500150,3500150,0,71,0,710,69200,494800,2936150,0.406712,0.0458,3000000,1
45252,0.5,0.33,0,0,0,1461600,1461600,0,26,0,260,429000,0,1032600,0.40195,0.045733333,0,0
45253,1.0,0.66,0,1,0,5458400,5458400,0,89,0,910,1562400,1390000,2506000,0.40666,0.045666667,3000000,1
45254,0.5,0.33,0,0,0,1707700,1707700,0,47,0,470,336350,225500,1145850,0.406595,0.0456,0,0
45255,0.75,0.66,0,1,1,3367550,3367550,0,64,0,670,1843200,614800,909550,0.40635,0.045533333,3000000,1
45256,0.5,0.33,0,0,1,1544400,1544400,0,30,0,300,992900,0,551500,0.40375,0.045466667,0,0
45257,0.5,0.33,0,0,0,1202900,1202900,0,35,0,360,128200,397000,677700,0.40375,0.0454,0,0
45258,0.75,0.66,0,1,0,3231600,3231600,0,51,0,510,1773400,843000,615200,0.40375,0.045333333,3000000,1
45259,0.75,0.66,0,1,0,3352200,3352200,0,59,0,600,637100,600500,2114600,0.39775,0.045266667,3000000,1
45260,0.75,0.66,0,1,0,2124500,2124500,0,55,0,560,507100,580400,1037000,0.39475,0.0452,0,0
45261,1.0,0.66,1,1,0,4430900,4430900,0,91,0,910,2200100,826300,1404500,0.40005,0.045133333,3000000,1
45262,1.0,0.66,1,1,1,5093500,5093500,0,94,0,950,1732300,1525600,1835600,0.400757,45.0,3000000,1
45263,0.5,0.33,1,0,1,1525500,1525500,0,30,0,300,383400,0,1142100,0.39625,45.0,0,0
45264,0.5,0.33,1,0,0,1820300,1820300,0,54,0,540,249300,713000,858000,0.39625,0.046516129,0,0
45265,0.75,0.66,1,1,0,2903300,2903300,0,55,0,560,1076400,402000,1424900,0.39625,0.048032258,3000000,1
45266,0.75,0.66,0,1,0,3471250,3471250,0,68,0,690,1280100,644000,1547150,0.40175,0.049548387,3000000,1
45267,0.75,0.66,0,1,0,3144650,3144650,0,74,0,740,915200,1543200,686250,0.3995,0.051064516,3000000,1
45268,0.5,0.33,0,0,0,1168600,1168600,0,23,0,230,217400,0,951200,0.400834,0.052580645,0,0
45269,0.75,0.66,0,1,1,2521650,2521650,0,55,0,550,614000,494500,1413150,0.398572,0.054096774,0,0
45270,0.75,0.66,0,1,1,2276500,2276500,0,33,0,350,1153900,0,1122600,0.3984,0.055612903,0,0
45271,0.75,0.66,0,1,0,3977700,3977700,0,67,0,680,1381000,387900,2208800,0.3984,0.057129032,3000000,1
45272,0.75,0.66,0,1,0,2878250,2878250,0,66,0,670,326550,1163000,1388700,0.3984,0.058645161,0,0
45273,0.75,0.66,0,1,0,2388300,2259300,129000,49,0,490,486400,850000,1051900,0.39575,0.06016129,0,0
45274,1.0,0.66,0,1,0,4426200,4426200,0,89,0,910,1532700,900500,1993000,0.398627,0.061677419,3000000,1
45275,0.75,0.66,1,1,0,3861300,3861300,0,82,0,850,1306100,360500,2194700,0.39675,0.063193548,0,0
45276,1.0,0.66,1,1,1,5716710,5716710,0,91,3732,930,1523700,537000,3656010,0.396599,0.064709677,3000000,1
45277,1.0,0.66,1,1,1,4349650,4349650,0,69,0,690,1057600,322500,2969550,0.393866,0.066225807,0,0
45278,1.0,0.66,1,1,0,4411950,4411950,0,80,0,820,997100,888500,2526350,0.393866,0.067741936,0,0
45279,1.0,0.66,1,1,0,5497500,5497500,0,93,0,950,1748400,2226400,1522700,0.393866,0.069258065,0,0
45280,1.0,0.66,1,1,0,5929800,5929800,0,108,0,1090,1396600,1370000,3163200,0.39335,0.070774194,3000000,1
45281,1.0,1.0,0,1,0,9520000,9520000,0,114,0,1140,1265300,1568000,6686700,0.394768,0.072290323,3000000,1
45282,1.0,1.0,0,1,0,8671150,8671150,0,148,0,1480,1591950,1861700,5217500,0.393574,0.073806452,3000000,1
45283,1.0,1.0,0,1,1,16255900,16255900,0,251,0,2560,2795500,4735500,8724900,0.39425,0.075322581,3000000,1
45284,1.0,1.0,0,1,1,14642750,14642750,0,227,0,2280,720000,7047400,6875350,0.389534,0.07683871,3000000,1
45285,0.25,0.33,0,0,0,527400,527400,0,8,0,80,326700,0,200700,0.389534,0.078354839,0,0
45286,0.75,0.66,0,1,0,2969750,2969750,0,68,0,680,353800,734000,1881950,0.389534,0.079870968,0,0
45287,0.75,0.66,0,1,0,2168000,2168000,0,50,0,500,228000,1108400,831600,0.395283,0.081387097,0,0
45288,0.5,0.33,0,0,0,1993000,1993000,0,50,0,500,457100,619100,916800,0.38522,0.082903226,0,0
45289,0.75,0.66,0,1,0,3457700,3457700,0,86,0,860,319100,1300400,1838200,0.38285,0.084419355,3000000,1
45290,1.0,0.66,0,1,1,4504400,4504400,0,104,0,1040,1899500,993200,1611700,0.3873,0.085935484,3000000,1
45291,0.25,0.33,0,0,1,891200,891200,0,28,0,280,622500,0,268700,0.387259,0.087451613,0,0
45293,0.75,0.66,1,1,0,2515600,2515600,0,43,0,430,58700,1823500,633400,0.387259,0.088967742,3000000,1
45294,0.5,0.33,1,0,0,1148800,1148800,0,25,0,250,317500,831300,0,0.387259,92.0,0,0
45295,0.75,0.66,1,1,0,2943600,2943600,0,65,0,650,222000,525000,2196600,0.388484,92.0,3000000,1
45296,0.5,0.33,1,0,0,1218200,1218200,0,38,0,380,170500,313000,734700,0.389495,0.092548387,0,0
45297,0.75,0.66,0,1,1,3331450,3331450,0,50,0,500,0,533900,2797550,0.391084,0.093096774,3000000,1
45298,0.25,0.33,0,0,1,977300,977300,0,20,0,200,631000,0,346300,0.392762,0.093645161,0,0
45299,0.5,0.33,0,0,0,1679600,1679600,0,29,0,290,375000,0,1304600,0.38874,0.094193548,0,0
45300,0.5,0.33,0,0,0,1355900,1355900,0,37,0,370,18500,614000,723400,0.38874,0.094741936,0,0
45301,0.75,0.66,0,1,0,3409350,3409350,0,56,0,560,147700,1987000,1274650,0.38874,0.095290323,3000000,1
45302,0.5,0.33,0,0,0,1831250,1831250,0,47,0,470,388000,717300,725950,0.3883,0.09583871,0,0
45303,0.75,0.66,0,1,0,3274050,3274050,0,53,0,530,1001100,734500,1538450,0.39375,0.096387097,3000000,1
45304,0.75,0.66,0,1,1,2091250,2091250,0,51,0,520,554200,810000,727050,0.39405,0.096935484,0,0
45305,0.5,0.33,0,0,1,1047850,1047850,0,22,0,220,331200,0,716650,0.391474,0.097483871,0,0
45306,0.5,0.33,1,0,0,1096900,1096900,0,24,0,240,27000,124000,945900,0.39115,0.098032258,0,0
