y_pre,rPicoBMA,xUnd,nVtaCO,kVtaOCC,lVtaNT,uPicoBin
0.2598880550808629,0.66,0.11599999999999999,0.0396680764249447,0.06098703067798054,0.09553588013126121,0.0
0.026147311588280462,0.33,0.364,0.10950268770988779,0.14989925362545053,0.7091511361525602,1.0
0.10123337543651088,0.33,0.028,0.023003128975690266,0.0,0.1011392483437558,0.0
0.017045595264630856,0.33,0.216,0.09705555364531399,0.10003689303856741,0.05829360411120054,0.0
0.028989276073011865,0.33,0.052000000000000005,0.004011507295212552,0.025896075148281638,0.05043031391245124,0.0
0.09813755355771851,0.33,0.064,0.036539100734678906,0.023058149104634336,0.028481208593895115,0.0
0.06483270178567006,0.33,0.152,0.0867058648236656,0.10667763998070211,0.056281344808371,0.0
0.04849295390940387,0.33,0.1,0.06439042281286891,0.030791497573573235,0.11559655748870039,0.0
0.11634098620501772,0.33,0.08399999999999999,0.05115244873866749,0.050940772483469086,0.025695003405361898,0.0
0.1572603214701439,0.66,0.172,0.15056906096344944,0.0,0.20754132871029657,0.0
0.13877529286474977,0.66,0.224,0.07511604717532579,0.17041745892102053,0.24413349018636615,1.0
0.16919904896351887,0.66,0.152,0.09474034086350559,0.09946930782983796,0.25349266299300355,1.0
0.0401094682616341,0.33,0.28400000000000003,0.14282112115898177,0.0748077305105429,0.32954615813262333,1.0
0.04651781955073433,0.33,0.076,0.06210959437930521,0.02128444532735477,0.018884279611169588,0.0
0.17439693389801128,0.66,0.064,0.04059645382755103,0.056758520872946056,0.03163890780756609,0.0
0.05060430443074027,0.33,0.216,0.0967747481346491,0.07584357351647417,0.4776484428208779,1.0
0.04992941526116353,0.33,0.124,0.049616614517071826,0.05399154298038993,0.03374404061668008,0.0
0.582937068132848,1.0,0.104,0.03610356565691297,0.0846411442517808,0.0,0.0
0.03779998514005498,0.33,0.452,0.7663927380256507,0.22249340182194852,0.39170949167234226,1.0
0.044641751492186146,0.33,0.036000000000000004,0.08201813201297437,0.0,0.0,0.0
0.2285088045174233,0.66,0.104,0.02709486641680707,0.07520504015665352,0.018481827750603676,0.0
0.0595326547291775,0.33,0.356,0.30100058453392015,0.12295314584101939,0.093802241347285,1.0
0.09008965500160983,0.33,0.144,0.05601210329058213,0.06896160286062945,0.028450250758466966,0.0
0.04203506947024296,0.33,0.132,0.08576831826152735,0.11252376763061556,0.00582007306049161,0.0
0.09244124130074052,0.33,0.108,0.029753922681062247,0.054346283735845845,0.043774379295399665,0.0
0.07927780667211531,0.33,0.128,0.10208712993845201,0.05363680222493402,0.10197510990031577,0.0
0.11889813507690021,0.66,0.072,0.13152013203589727,0.0,0.07367964831898953,0.0
